Address,Score,Strict Same TX,NB TX,Sybil,Chain From First,Chain To First,Date First,Protocol First,Chain From Last,Chain To Last,Date Last,Protocol Last
0xff6bfad62a4029766fd74c58d382d80370ebd144,,,102,false,BNB Chain,Harmony,2023-05-31 16:14:42.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 01:50:26.000,Merkly
0x5f17e171892588d6315f001c245657f6e7381b2f,82.87,6,95,false,BNB Chain,Harmony,2023-05-31 16:15:45.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 02:14:41.000,Merkly
0x49600945d5ffbcafad432fefafdf68040862a11d,87.38,15,103,false,BNB Chain,Harmony,2023-05-31 16:16:48.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 19:50:47.000,Merkly
0x30a33c7c3a0b99311b0c2c4a5246551ddf00deb3,82.67,10,105,false,BNB Chain,Harmony,2023-05-31 16:21:00.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:38:19.000,Merkly
0x526f884e479f4d99fd2fc2fb660266e73dc39811,54.19,5,110,false,BNB Chain,Harmony,2023-05-31 16:22:03.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:59:02.000,Merkly
0xf21db0a9959e7bbbcad6d5664a9a8094fdc6efbb,87.50,11,105,false,BNB Chain,Harmony,2023-05-31 16:25:15.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:06:02.000,Merkly
0xa9a0e1800c6e33d96827bdb59a6ff8d2f88fa520,68.58,10,114,false,BNB Chain,Harmony,2023-05-31 16:26:18.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:37:22.000,Merkly
0x8bc71136b14d3994e7e1e95edc546b537a82a0b4,87.87,9,101,false,BNB Chain,Harmony,2023-05-31 16:27:21.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 12:54:57.000,Merkly
0x7e77bf92c857de812eada3e262091b4247bdd2d7,90.12,23,99,false,BNB Chain,Harmony,2023-05-31 16:30:30.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:07:44.000,Merkly
0xe670701d63747358215ca860ba3e31666c1feba6,89.53,19,100,false,BNB Chain,Harmony,2023-05-31 16:32:36.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-09 22:02:39.000,Merkly
0x1b46c8cbb3b3d28542431364f64af182432ab6d3,85.37,7,104,false,BNB Chain,Harmony,2023-05-31 16:34:42.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:31:07.000,Merkly
0xc8decb3b0d732ed1e6454954b7ee11f0b84f3fe8,70.37,8,98,false,BNB Chain,Harmony,2023-05-31 16:35:45.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 18:39:47.000,Merkly
0xf031eb566ffdce5e37b962ac14f5a8a22341d565,68.09,10,114,false,BNB Chain,Harmony,2023-05-31 16:37:51.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:36:14.000,Merkly
0x485bb64d6966baead2121b9aedbffa0b36b83b50,69.09,5,111,false,BNB Chain,Harmony,2023-05-31 16:41:00.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 16:40:18.000,Merkly
0xd57dd3bb2238e732fbf281d712da77128b6f6d2b,86.15,11,101,false,BNB Chain,Harmony,2023-05-31 16:45:12.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 00:59:41.000,Merkly
0xaefd2edf2dc606271adca079220fb8ca6ae09394,58.14,11,111,false,BNB Chain,Harmony,2023-05-31 16:47:18.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:26:34.000,Merkly
0x26b18c73db9b531742111ac9a9a3dd4fbfd8f206,82.45,10,101,false,BNB Chain,Harmony,2023-05-31 16:49:24.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:54:50.000,Merkly
0x66b256fea4843c3583d96f2d9ba46a2934620c75,88.85,18,105,false,BNB Chain,Harmony,2023-05-31 16:50:27.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:52:20.000,Merkly
0x65acae3844261b299998b9b340c15ebf325d9eb3,52.99,8,128,false,BNB Chain,Harmony,2023-05-31 16:51:30.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 00:12:14.000,Merkly
0xb345e7fc93eec01dc27f25ca3b8cadf4aceb629d,91.05,13,102,false,BNB Chain,Harmony,2023-05-31 16:52:33.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:43:24.000,Merkly
0xc54aa2cbb130dca5204a40d8bdd166ba07813d10,65.34,10,114,false,BNB Chain,Harmony,2023-05-31 16:53:30.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 00:15:14.000,Merkly
0xae5ff6e839dc8e4f390912973fed877301231eed,85.71,9,104,false,BNB Chain,Harmony,2023-05-31 16:54:33.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:14:44.000,Merkly
0x31ace1320968a7a23f1b0c414d9cdfa42947d54d,70.12,8,107,false,BNB Chain,Harmony,2023-05-31 16:57:00.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 12:49:26.000,Merkly
0xa6155647937b2fe26c70d318d814000bba19269d,66.37,10,112,false,BNB Chain,Harmony,2023-05-31 16:58:03.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 11:31:31.000,Merkly
0x5d38d8729a1f0c84833256a6c8f808e26a8d3f4e,62.94,7,114,false,BNB Chain,Harmony,2023-05-31 16:59:06.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:35:39.000,Merkly
0x2958c4c9a7e522741f75e764d5fcabf0c45591ae,70.83,8,116,false,BNB Chain,Harmony,2023-05-31 17:01:12.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:59:32.000,Merkly
0x7cb00a06e8aaba0708f195a4e0ced8cee88512bf,91.13,24,102,false,BNB Chain,Harmony,2023-05-31 17:03:15.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 03:23:36.000,Merkly
0xffcc3b843d9442b8b5a865eedee98aa3841d5b30,84.17,10,101,false,BNB Chain,Harmony,2023-05-31 17:05:21.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 06:22:19.000,Merkly
0x53a888085c936cc243a8f052ae369d0da206b8af,79.29,15,95,false,BNB Chain,Harmony,2023-05-31 17:06:24.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 22:14:44.000,Merkly
0x92f3228ab608ae653f730810148d03cfb4be78ff,87.50,11,104,false,BNB Chain,Harmony,2023-05-31 17:09:33.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:37:19.000,Merkly
0x34f8f2d111512d908d7ff0e5a9b210e985fb790d,60.71,9,109,false,BNB Chain,Harmony,2023-05-31 17:10:36.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:55:20.000,Merkly
0xfc55239e2c1e88ba0a34ccdf92c4c3385e09b421,85.71,5,104,false,BNB Chain,Harmony,2023-05-31 17:13:48.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:54:29.000,Merkly
0xa7df20a5703789ceb816cbc7d2152cadc6bb0fd5,74.51,12,106,false,BNB Chain,Harmony,2023-05-31 17:15:54.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 14:20:31.000,Merkly
0xfcb8b49982be359ad0469dd0397337740a04577b,58.01,7,113,false,BNB Chain,Harmony,2023-05-31 17:16:57.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:12:57.000,Merkly
0x51e15e283bff22394baad6db4be7cb9a9e142527,83.01,7,103,false,BNB Chain,Harmony,2023-05-31 17:20:06.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:15:54.000,Merkly
0xbf91339990b52765d0953802fc2154b5c417b0e3,69.63,13,108,false,BNB Chain,Harmony,2023-05-31 17:21:09.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:07:34.000,Merkly
0xdc5ed244f73bd9322e1138a9183b466888cccd26,66.50,8,113,false,BNB Chain,Harmony,2023-05-31 17:25:06.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:52:42.000,Merkly
0xe6e1312cd7aba9b2d06c1b82931c51f48cc62c48,85.54,9,103,false,BNB Chain,Harmony,2023-05-31 17:26:03.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 16:41:18.000,Merkly
0xeef1b58da2628d24c0597b6063950d8d2bff38fc,83.33,11,101,false,BNB Chain,Harmony,2023-05-31 17:27:06.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:45:00.000,Merkly
0x80791a7ce2d81dc194b958d3a32e49ad6f392717,62.79,9,114,false,BNB Chain,Harmony,2023-05-31 17:28:09.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 14:25:52.000,Merkly
0x5364765299f210eea871f2e9a2b92a2a779c0b96,49.53,4,116,false,BNB Chain,Harmony,2023-05-31 17:29:12.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:23:24.000,Merkly
0x8b41064c437fd55f79b0d1586b5ecd7e969d2cee,77.67,16,94,false,BNB Chain,Harmony,2023-05-31 17:30:15.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 14:03:41.000,Merkly
0x79f79b369567b555919430ad200e36359a7de2cb,86.57,15,106,false,BNB Chain,Harmony,2023-05-31 17:31:18.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 11:35:16.000,Merkly
0xfff29e98f588cd7f82720b975428c0c30077b8fa,61.72,10,114,false,BNB Chain,Harmony,2023-05-31 17:32:21.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 04:00:19.000,Merkly
0xd8191e86377f4f3a2528b9d99f47282756a076fc,68.09,12,115,false,BNB Chain,Harmony,2023-05-31 17:34:21.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:00:29.000,Merkly
0x05bc71937d4210dec31f588a5f7807aac66c99f7,65.29,9,113,false,BNB Chain,Harmony,2023-05-31 17:35:30.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 04:03:54.000,Merkly
0x0f3bded90b0ab9c84751463c1695613ba0207386,68.50,13,92,false,BNB Chain,Harmony,2023-05-31 17:39:42.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 11:11:20.000,Merkly
0x852baede513774f67283fc246ea0bd8e0bb2a1ea,50.76,9,122,false,BNB Chain,Harmony,2023-05-31 17:42:51.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:10:04.000,Merkly
0xa72ba79e03424a2b1060ddbe1482c6db810f7872,85.34,11,99,false,BNB Chain,Harmony,2023-05-31 17:48:07.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:14:14.000,Merkly
0x1a6d1448f5fd84b8568e3c1eacdfb9f38b27e0be,73.14,15,92,false,BNB Chain,Harmony,2023-05-31 17:49:10.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 12:28:26.000,Merkly
0xf2322aabeefd6af15e08194f4a3e36e5938e9886,53.19,6,116,false,BNB Chain,Harmony,2023-05-31 17:50:13.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:16:14.000,Merkly
0xa5b82d4b509e0afbe81cb76387e34231f7a49b0e,78.60,7,96,false,BNB Chain,Harmony,2023-05-31 17:52:19.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:23:04.000,Merkly
0x1884c405fca81ab7a41e43516b385214835beda6,66.74,10,118,false,BNB Chain,Harmony,2023-05-31 17:53:22.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 03:35:46.000,Merkly
0xe166cc3eea81fc55333c614e67ece47794e6c537,84.75,11,104,false,BNB Chain,Harmony,2023-05-31 17:54:25.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 12:44:06.000,Merkly
0xb4b5e98b928d2fb9f61a8820deff322b1683a726,72.21,7,107,false,BNB Chain,Harmony,2023-05-31 17:55:28.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 00:58:39.000,Merkly
0x0905f39e01f5ebb3c1fb530a9e206fbc3b9c111d,62.43,7,110,false,BNB Chain,Harmony,2023-05-31 17:56:37.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:20:47.000,Merkly
0xa5fb7e18397dc8308c6a7c1642d0d5d5c3fecaa1,61.37,5,112,false,BNB Chain,Harmony,2023-05-31 17:59:46.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:05:29.000,Merkly
0x3b296b2413c30a8b7b5c013ae09804afeeaed6db,52.79,6,119,false,BNB Chain,Harmony,2023-05-31 18:00:49.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:01:02.000,Merkly
0x9603d1b8826167fc1889855a465b84904ec5f3b2,82.23,12,98,false,BNB Chain,Harmony,2023-05-31 18:02:55.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:45:32.000,Merkly
0xa09231271fb796d51ed50e0731ad9b57699cc836,85.59,7,101,false,BNB Chain,Harmony,2023-05-31 18:03:55.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 03:31:41.000,Merkly
0xdfb014f23ab4fd47667bcf81e56cd1f4d3a608f1,87.21,13,101,false,BNB Chain,Harmony,2023-05-31 18:04:58.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 15:44:51.000,Merkly
0xf9e994ce2db742f52af5e5bcf18f5802173bd7f5,63.33,6,112,false,BNB Chain,Harmony,2023-05-31 18:07:13.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 05:18:04.000,Merkly
0x53082ccb5b5772b55f402be12ddb8c18be771b75,61.57,6,112,false,BNB Chain,Harmony,2023-05-31 18:08:16.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:49:14.000,Merkly
0x910572f8bde95c945b7b8eea26e7b95a3cdaba55,87.89,11,103,false,BNB Chain,Harmony,2023-05-31 18:11:25.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 20:09:22.000,Merkly
0x9d777fc93f74e65a155f3d3aa84c7f680b7e72e6,76.08,11,108,false,BNB Chain,Harmony,2023-05-31 18:12:28.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 16:46:26.000,Merkly
0x602a39372271756400d1885ab3f63f758e289037,55.44,6,120,false,BNB Chain,Harmony,2023-05-31 18:13:34.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 22:37:49.000,Merkly
0x64b5d1fd145f271d41c5d35ec883bd0a4429f0d8,62.89,12,117,false,BNB Chain,Harmony,2023-05-31 18:14:37.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 19:28:37.000,Merkly
0x58895ed1be5eedfcf11c61e8bbc563be52768502,87.33,8,98,false,BNB Chain,Harmony,2023-05-31 18:16:43.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 17:03:01.000,Merkly
0x5c7acfe5cacf7eff8dd4cfd70800269568fc923f,83.01,11,94,false,BNB Chain,Harmony,2023-05-31 18:18:49.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:52:47.000,Merkly
0x519d570653e6a2c6dd534cd52962807b8252e864,60.39,9,118,false,BNB Chain,Harmony,2023-05-31 18:19:52.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:15:24.000,Merkly
0x87cce33b3c5de9193f519f0f78fb2d3970fde648,72.18,13,109,false,BNB Chain,Harmony,2023-05-31 18:20:55.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:03:39.000,Merkly
0x287df16ae6c0d6fd076a397f98d5b3f6ceaa39c5,81.86,20,109,false,BNB Chain,Harmony,2023-05-31 18:23:01.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 02:05:09.000,Merkly
0x90ead149144a280254e489b297d9e4ab63983c70,82.87,15,96,false,BNB Chain,Harmony,2023-05-31 18:24:10.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 01:39:46.000,Merkly
0x5e6c8230e9fb2468837228e5f2d180d6e17693bb,67.87,9,111,false,BNB Chain,Harmony,2023-05-31 18:25:13.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:30:14.000,Merkly
0xec7984a8563d49f15d92abb3affcb8cdd5c60f1b,72.25,12,98,false,BNB Chain,Harmony,2023-05-31 18:28:01.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 12:23:41.000,Merkly
0x7ffd23035fe4c7eafbaa8c9e23d3078d0b7acec5,54.66,8,115,false,BNB Chain,Harmony,2023-05-31 18:29:04.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:10:00.000,Merkly
0x9a9921cbd40481a3d6b19c35f1adbab12339b00e,85.00,8,108,false,BNB Chain,Harmony,2023-05-31 18:31:10.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:10:52.000,Merkly
0xbe58709bb350ffb7ea84ee89a6891e34b7ff159e,52.70,7,124,false,BNB Chain,Harmony,2023-05-31 18:32:13.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 04:25:34.000,Merkly
0xebf1be8b6556745f318576e7798968102eef7bd0,86.67,16,105,false,BNB Chain,Harmony,2023-05-31 18:33:16.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:44:00.000,Merkly
0x51d98557e578a145dc2ac4efeaf0f965b7e43f65,85.96,8,101,false,BNB Chain,Harmony,2023-05-31 18:34:19.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 18:07:32.000,Merkly
0x6b4f3fedb5ece289f8ab928e451442fca5b9cac6,87.28,21,100,false,BNB Chain,Harmony,2023-05-31 18:35:22.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 10:19:25.000,Merkly
0xa0b96d8c100a4903dda47603eeaa2f6fe5b21131,59.12,6,115,false,BNB Chain,Harmony,2023-05-31 18:36:25.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 03:18:36.000,Merkly
0xb9ddcbd395648298bb927637520ecdf6f1766515,66.89,6,107,false,BNB Chain,Harmony,2023-05-31 18:37:28.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:21:47.000,Merkly
